id	gene	a	d	mu_r	mu_v
s0	a	66023,50883,62757,36056,58777	126755,100469,121941,71263,115417	0.999	0.5
s1	b	71532,50933,64719,52048,83311	135031,97485,120826,101788,157737	0.999	0.5
s2	c	93057,61406,72640,61648,54961	106716,83179,83799,86440,84607	0.999	0.5
s3	GOLGA7B	31531,40281,18089,34256,36473	72221,84463,37410,73050,76869	0.999	0.5
s4	KHNYN	94954,74636,67529,42328,59678	116386,106518,83271,66152,94465	0.999	0.5
s5	NPHP4	9653,2300,4506,3559,3695	112775,79087,84707,92076,95849	0.999	0.5
s6	NPM1	9072,2953,4140,5150,5270	127079,112052,86626,137055,185970	0.999	0.5
s7	OLFM2	36288,28055,26648,35692,26492	74007,58150,56286,76579,54844	0.999	0.5
s8	PYHIN1	75935,106216,153378,115054,112006	76826,111139,155389,123305,119960	0.999	0.5
s9	RHCG	28543,31070,57616,34454,40929	51929,64677,116465,68393,79788	0.999	0.5
s10	SMC1A	54447,39896,60454,63950,48658	82781,73370,92894,120384,89511	0.999	0.5
